180,Life cycle of window materials - A comparative assessment,M Asif~ A Davidson~ T Muneer,2002,School of Engineering - Napier University - Edinburgh,,,,,,,,,,,,
181,Life Cyle Assessment Data Copper Sheet,,2005,European Copper Institute,,,,,,,,,,,,
182,Life Cyle Assessment Data Copper Tube,,2005,European Copper Institute,,,,,,,,,,,,
183,Life Cyle Assessment Data Copper Wire,,2005,European Copper Institute,,,,,,,,,,,,
184,Lifecycle assessment of paint~ Summary of IVL Report B 1338-A,,1999,"SVEFF~ The Swedish Paint & Printing Ink Makers
Association)",,,,,,,,,,,,
185,Lightweight high-performance concrete masonry-block mix design,Babrak Amiri~ Gary L Krause~ Maher K Tadros,09/1994,,,,,,ACI Materials Journal,,,,,,,
186,Lime - A Sustainable “Green” Building Product,Wayne Kenefick~ Mike Tate,03/09/2005-03/11/2005,,,,,,,, Orlando~ Florida,,,,,International Building Lime Symposium 2005
187,Lime Activity CO2 Emissions Factors,,2003,EULA~ European Lime Association,,,,,,,,,,,,
188,Limestone Quarrying and Processing: A Life-Cycle Inventory,,2008,University of Tennessee,,,,,,,,,,,,
189,LISA LCA software case study~ Nurses Faculty - University of Australia,,2000,LISA Software - University of Newcastle - Australia,,,,,,,,,,,,
