Cement - GEN 0 (6/8 MPa) (15% Blast Furnace Slag),Kilogram,0.48,,,,0.056,0.060,,,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.",
Cement - GEN 0 (6/8 MPa) (30% Blast Furnace Slag),Kilogram,0.41,,,,0.042,0.045,,,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.",
Cement - GEN 1 (8/10 MPa) (0% Blast Furnace Slag),Kilogram,0.70,,,,0.097,0.104,,,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",
Cement - GEN 1 (8/10 MPa) (15% Blast Furnace Slag),Kilogram,0.60,,,,0.075,0.080,,,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",
Cement - GEN 1 (8/10 MPa) (30% Blast Furnace Slag),Kilogram,0.50,,,,0.054,0.058,,,"Possible uses: mass concrete, mass fill, mass foundations, trench foundations, blinding, strip footing.",
Cement - GEN 2 (12/15 MPa) (0% Blast Furnace Slag),Kilogram,0.76,,,,0.106,0.114,,,,
Cement - GEN 2 (12/15 MPa) (15% Blast Furnace Slag),Kilogram,0.62,,,,0.082,0.088,,,,
Cement - GEN 2 (12/15 MPa) (30% Blast Furnace Slag),Kilogram,0.55,,,,0.061,0.065,,,,
Cement - GEN 3 (16/20 MPa) (0% Blast Furnace Slag),Kilogram,0.81,,,,0.115,0.123,,,Possible uses: garage floors.,
Cement - GEN 3 (16/20 MPa) (15% Blast Furnace Slag),Kilogram,0.69,,,,0.090,0.096,,,Possible uses: garage floors.,
Cement - GEN 3 (16/20 MPa) (30% Blast Furnace Slag),Kilogram,0.57,,,,0.065,0.070,,,Possible uses: garage floors.,
Cement - RC 20/25 (20/25 MPa) (0% Blast Furnace Slag),Kilogram,0.86,,,,0.124,0.132,,,,
Cement - RC 20/25 (20/25 MPa) (15% Blast Furnace Slag),Kilogram,0.74,,,,0.097,0.104,,,,
Cement - RC 20/25 (20/25 MPa) (30% Blast Furnace Slag),Kilogram,0.62,,,,0.072,0.077,,,,
Cement - RC 25/30 (25/30 MPa) (0% Blast Furnace Slag),Kilogram,0.91,,,,0.131,0.140,,,Possible uses: reinforced foundations.,
Cement - RC 25/30 (25/30 MPa) (15% Blast Furnace Slag),Kilogram,0.78,,,,0.104,0.111,,,Possible uses: reinforced foundations.,
Cement - RC 25/30 (25/30 MPa) (30% Blast Furnace Slag),Kilogram,0.65,,,,0.076,0.081,,,Possible uses: reinforced foundations.,
Cement - RC 28/35 (28/35 MPa) (0% Blast Furnace Slag),Kilogram,0.95,,,,0.139,0.148,,,"Possible uses: reinforced foundations, ground floors.",
Cement - RC 28/35 (28/35 MPa) (15% Blast Furnace Slag),Kilogram,0.83,,,,0.111,0.119,,,"Possible uses: reinforced foundations, ground floors.",
Cement - RC 28/35 (28/35 MPa) (30% Blast Furnace Slag),Kilogram,0.69,,,,0.082,0.088,,,"Possible uses: reinforced foundations, ground floors.",
Cement - RC 32/40 (32/40 MPa) (0% Blast Furnace Slag),Kilogram,1.03,,,,0.153,0.163,,,"Possible uses: structural purposes, in situ floors, walls, superstructure.",
Cement - RC 32/40 (32/40 MPa) (15% Blast Furnace Slag),Kilogram,0.91,,,,0.125,0.133,,,"Possible uses: structural purposes, in situ floors, walls, superstructure.",
Cement - RC 32/40 (32/40 MPa) (30% Blast Furnace Slag),Kilogram,0.78,,,,0.094,0.100,,,"Possible uses: structural purposes, in situ floors, walls, superstructure.",
Cement - RC 40/50 (40/50 MPa) (0% Blast Furnace Slag),Kilogram,1.17,,,,0.176,0.188,,,"Possible uses: high strength applications, precasting.",
Cement - RC 40/50 (40/50 MPa) (15% Blast Furnace Slag),Kilogram,1.03,,,,0.144,0.153,,,"Possible uses: high strength applications, precasting.",
Cement - RC 40/50 (40/50 MPa) (30% Blast Furnace Slag),Kilogram,0.87,,,,0.108,0.115,,,"Possible uses: high strength applications, precasting.",
Cement - PAV1  (0% Blast Furnace Slag),Kilogram,0.95,,,,0.139,0.148,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV1  (15% Blast Furnace Slag),Kilogram,0.82,,,,0.111,0.118,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV1  (30% Blast Furnace Slag),Kilogram,0.70,,,,0.083,0.088,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV2 (0% Blast Furnace Slag),Kilogram,1.03,,,,0.153,0.163,,,Possible uses: heavy duty outdoor paving.,
Cement - PAV2 (15% Blast Furnace Slag),Kilogram,0.91,,,,0.125,0.133,,,Possible uses: heavy duty outdoor paving.,
Cement - PAV2 (30% Blast Furnace Slag),Kilogram,0.77,,,,0.094,0.100,,,Possible uses: heavy duty outdoor paving.,
EU Copper Tube & Sheet,Kilogram,42.00,,,,2.60,2.71,,,"EU production data, estimated from Kupfer Institut LCI data. 37% recycled content (the 3 year world average). World average data is expected to be higher than these values.",
Virgin Copper,Kilogram,57.00,,,,3.65,3.81,,,,
Recycled Copper,Kilogram,16.50,,,,0.80,0.84,,,,
Copper recycled from high grade scrap ,Kilogram,18.00,,,,1.10,,,,"Uncertain, difficult to estimate with the data available.",
Copper recycled from low grade scrap ,Kilogram,50.00,,,,3.10,,,,,
Primary Glass,Kilogram,15.00,,,,0.86,0.91,,,Includes process CO2 emissions from primary glass manufacture.,
Secondary Glass,Kilogram,11.50,,,,0.55,0.59,,,EE estimated from reference.,115
Fibreglass (Glasswool),Kilogram,28.00,,,,1.54,,,,"Large data range, but the selected value is inside a small band of frequently quoted values.",
Toughened,Kilogram,23.50,,,,1.27,1.35,,,Only three data sources,
General Insulation,Kilogram,45.00,,,,1.86,,,,Estimated from typical market shares. Feedstock Energy 16.5 MJ/kg  (Included),
Cellular Glass,Kilogram,27.00,,,,,,,,,54
Cellulose ,Kilogram,2.12,,0.94,3.3,,,,,,
Cork,Kilogram,4.00,,,,0.19,,,,,55
Fibreglass (Glasswool),Kilogram,28.00,,,,1.35,,,,Poor data difficult to select appropriate value,
Flax (Insulation),Kilogram,39.50,,,,1.70,,,,5.97 MJ/kg Feedstock Energy  (Included),
Mineral wool,Kilogram,16.60,,,,1.20,1.28,,,,
Paper wool,Kilogram,20.17,,,,0.63,,,,,41
Rockwool,Kilogram,16.80,,,,1.05,1.12,,,Cradle to Grave,
Woodwool (loose),Kilogram,10.80,,,,,,,,,205
Woodwool (Board),Kilogram,20.00,,,,0.98,,,,,55
Wool (Recycled) ,Kilogram,20.90,,,,,,,,,63-201-202-281
Iron,Kilogram,25.00,,,,1.91,2.03,,,It was difficult to estimate the embodied energy and carbon of iron with the data available.,
Lead,Kilogram,25.21,,,,1.57,1.67,,,"Allocated (divided) on a mass basis, assumes recycling rate of 61%",
Virgin Lead,Kilogram,49.00,,,,3.18,3.37,,,,
Recycled Lead,Kilogram,10.00,,,,0.54,0.58,,,Scrap batteries are a main feedstock for recycled lead,
Lime,Kilogram,5.30,,,,0.76,0.78,,,Embodied carbon was difficult to estimate,
Linoleum,Kilogram,25.00,,,,1.21,,,,"Data difficult to select, large data range.",
Asbestos,Kilogram,7.40,,,,,,,,,4
Calcium Silicate Sheet,Kilogram,2.00,,,,0.13,,,,,55
Chromium,Kilogram,83,,,,5.39,,,,,22
"Cotton, Padding",Kilogram,27.10,,,,1.28,,,,,38
"Cotton, Fabric",Kilogram,143,,,,6.78,,,,,38
Damp Proof Course/Membrane,Kilogram,134,,,,4.20,,,,Uncertain estimate.,
Felt General,Kilogram,36,,,,,,,,,
Flax,Kilogram,33.50,,,,1.70,,,,,2
Fly Ash,Kilogram,0.10,,,,0.008,,,,No allocation from fly ash producing system.,
Grit,Kilogram,0.12,,,,0.01,,,,,114
Ground Limestone,Kilogram,0.62,,,,0.032,,,,,
Carpet Grout,Kilogram,30.80,,,,,,,,,169
